session_timestamp,participant_id,task,technique,hand_location,condition_label,condition_index,condition_total,condition_order,condition_sequence_index,condition_sequence_total,tool_id,trial_index_global,trial_index_in_task,trial_result,timed_out,success,completion_time_s,translation_error_cm,rotation_error_deg,scaling_error_pct,time_to_first_within_tol_s,eligible_breaks,error_recovery_time_s,micro_axis_active_duration_s,micro_axis_integral,macro_path_length_m,phone_path_length_m,mode_switch_count
2026-09-08_10-03-01,P03,Placement,Micro,NearHead,Micro - Near Head,1,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,FireExtinguisher,1,2,success,0,1,118.2648,1.06212,,,20.34079,0,0,29.60893,11.52283,,1.598531,8
2026-09-08_10-03-01,P03,Placement,Micro,NearHead,Micro - Near Head,1,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Wrench,2,3,success,0,1,96.41846,0.408201,,,14.52136,0,0,15.33387,5.967291,,1.484181,9
2026-09-08_10-03-01,P03,Placement,Micro,NearHead,Micro - Near Head,1,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Tape,3,4,success,0,1,55.59656,1.276711,,,10.26355,1,2.33171,11.31313,5.697972,,0.788293,3
2026-09-08_10-03-01,P03,Rotation,Micro,NearHead,Micro - Near Head,1,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,FireExtinguisher,4,2,success,0,1,10.26666,,27.84708,,6.200928,1,2.966659,3.746572,1.139094,,0.210354,0
2026-09-08_10-03-01,P03,Rotation,Micro,NearHead,Micro - Near Head,1,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Wrench,5,3,success,0,1,31.83496,,17.67045,,29.5683,0,0,11.39452,4.019112,,0.382612,4
2026-09-08_10-03-01,P03,Rotation,Micro,NearHead,Micro - Near Head,1,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Tape,6,4,success,0,1,27.03351,,137.5266,,,0,,12.84887,6.559013,,0.342579,1
2026-09-08_10-03-01,P03,Scaling,Micro,NearHead,Micro - Near Head,1,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,FireExtinguisher,7,2,success,0,1,13.771,,,5.141497,3.700989,1,1.400199,2.190681,0.879009,,0.231062,0
2026-09-08_10-03-01,P03,Scaling,Micro,NearHead,Micro - Near Head,1,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Wrench,8,3,success,0,1,9.829895,,,29.57716,3.97699,1,5.566549,3.018761,0.985631,,0.187686,0
2026-09-08_10-03-01,P03,Scaling,Micro,NearHead,Micro - Near Head,1,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Tape,9,4,success,0,1,7.93396,,,6.206954,2.832947,1,0.86817,1.813361,0.702674,,0.126316,0
2026-09-08_10-03-01,P03,Placement,Macro,SideOfBody,Macro - Side Of Body,2,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,FireExtinguisher,10,2,success,0,1,34.89514,4.313437,,,26.89478,0,0,,,6.097541,4.101472,0
2026-09-08_10-03-01,P03,Placement,Macro,SideOfBody,Macro - Side Of Body,2,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Wrench,11,3,success,0,1,23.43152,0.246859,,,12.69653,0,0,,,3.736906,2.554634,0
2026-09-08_10-03-01,P03,Placement,Macro,SideOfBody,Macro - Side Of Body,2,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Tape,12,4,success,0,1,19.63599,1.051955,,,9.833496,0,0,,,3.226981,2.189079,0
2026-09-08_10-03-01,P03,Rotation,Macro,SideOfBody,Macro - Side Of Body,2,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,FireExtinguisher,13,2,success,0,1,18.81641,,7.382396,,13.14917,0,0,,,2.161117,1.488918,0
2026-09-08_10-03-01,P03,Rotation,Macro,SideOfBody,Macro - Side Of Body,2,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Wrench,14,3,success,0,1,24.39429,,11.35882,,16.9292,1,0.33024,,,2.653931,1.846698,0
2026-09-08_10-03-01,P03,Rotation,Macro,SideOfBody,Macro - Side Of Body,2,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Tape,15,4,success,0,1,10.66699,,6.277994,,4.165039,0,0,,,1.19429,0.820009,0
2026-09-08_10-03-01,P03,Scaling,Macro,SideOfBody,Macro - Side Of Body,2,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,FireExtinguisher,16,2,success,0,1,14.29785,,,1.174843,7.665283,1,0.968164,,,2.288405,1.430176,0
2026-09-08_10-03-01,P03,Scaling,Macro,SideOfBody,Macro - Side Of Body,2,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Wrench,17,3,success,0,1,27.70251,,,6.782856,17.43469,0,0,,,3.366561,2.301773,0
2026-09-08_10-03-01,P03,Scaling,Macro,SideOfBody,Macro - Side Of Body,2,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Tape,18,4,success,0,1,46.099,,,1.250577,44.20337,0,0,,,8.054564,5.501379,0
2026-09-08_10-03-01,P03,Placement,Micro,SideOfBody,Micro - Side Of Body,3,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,FireExtinguisher,19,2,success,0,1,21.76526,0.629268,,,16.03723,0,0,12.42718,7.243929,,0.340708,2
2026-09-08_10-03-01,P03,Placement,Micro,SideOfBody,Micro - Side Of Body,3,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Wrench,20,3,success,0,1,39.11047,0.826399,,,22.80139,1,5.061943,17.41093,9.570726,,0.548572,9
2026-09-08_10-03-01,P03,Placement,Micro,SideOfBody,Micro - Side Of Body,3,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,Tape,21,4,success,0,1,34.49536,2.008253,,,17.02734,1,0.70353,15.47678,8.462133,,0.381185,7
2026-09-08_10-03-01,P03,Rotation,Micro,SideOfBody,Micro - Side Of Body,3,4,1:Micro Near[Micro-Near] > 2:Macro Side[Macro-Side] > 3:Micro Side[Micro-Side] > 4:Macro Near[Macro-Near],3,4,FireExtinguisher,22,2,success,0,1,25.33203,,13.11113,,1.731934,2,17.43428,8.73321,3.106362,,0.339822,3
