session_timestamp,participant_id,task,technique,hand_location,condition_label,condition_index,condition_total,condition_order,condition_sequence_index,condition_sequence_total,tool_id,trial_index_global,trial_index_in_task,trial_result,timed_out,success,completion_time_s,translation_error_cm,rotation_error_deg,scaling_error_pct,time_to_first_within_tol_s,eligible_breaks,error_recovery_time_s,micro_axis_active_duration_s,micro_axis_integral,macro_path_length_m,phone_path_length_m,mode_switch_count
2026-09-10_10-11-22,P04,Placement,Micro,SideOfBody,Micro - Side Of Body,1,4,1:Micro Side[Micro-Side] > 2:Micro Near[Micro-Near] > 3:Macro Near[Macro-Near] > 4:Macro Side[Macro-Side],4,4,FireExtinguisher,1,2,success,0,1,37.0318,3.349373,,,21.26756,1,0.223063,12.08606,9.237004,,1.244439,4
2026-09-10_10-11-22,P04,Placement,Micro,SideOfBody,Micro - Side Of Body,1,4,1:Micro Side[Micro-Side] > 2:Micro Near[Micro-Near] > 3:Macro Near[Macro-Near] > 4:Macro Side[Macro-Side],4,4,Wrench,2,3,success,0,1,37.86896,1.421711,,,21.90038,1,1.969183,12.90329,8.861341,,0.991749,5
2026-09-10_10-11-22,P04,Placement,Micro,SideOfBody,Micro - Side Of Body,1,4,1:Micro Side[Micro-Side] > 2:Micro Near[Micro-Near] > 3:Macro Near[Macro-Near] > 4:Macro Side[Macro-Side],4,4,Tape,3,4,success,0,1,27.76389,2.092073,,,19.10287,1,1.528716,8.866096,7.608577,,0.698542,5
2026-09-10_10-11-22,P04,Rotation,Micro,SideOfBody,Micro - Side Of Body,1,4,1:Micro Side[Micro-Side] > 2:Micro Near[Micro-Near] > 3:Macro Near[Macro-Near] > 4:Macro Side[Macro-Side],4,4,FireExtinguisher,4,2,success,0,1,20.40356,,13.57291,,5.161926,2,7.303946,4.743756,2.416838,,0.389907,2
2026-09-10_10-11-22,P04,Rotation,Micro,SideOfBody,Micro - Side Of Body,1,4,1:Micro Side[Micro-Side] > 2:Micro Near[Micro-Near] > 3:Macro Near[Macro-Near] > 4:Macro Side[Macro-Side],4,4,Wrench,5,3,success,0,1,11.03265,,4.163742,,7.732971,1,0.399531,4.73412,3.192516,,0.325435,0
2026-09-10_10-11-22,P04,Rotation,Micro,SideOfBody,Micro - Side Of Body,1,4,1:Micro Side[Micro-Side] > 2:Micro Near[Micro-Near] > 3:Macro Near[Macro-Near] > 4:Macro Side[Macro-Side],4,4,Tape,6,4,success,0,1,5.200806,,8.016583,,2.435333,1,0.767103,0.73839,0.434501,,0.154748,0
2026-09-10_10-11-22,P04,Scaling,Micro,SideOfBody,Micro - Side Of Body,1,4,1:Micro Side[Micro-Side] > 2:Micro Near[Micro-Near] > 3:Macro Near[Macro-Near] > 4:Macro Side[Macro-Side],4,4,FireExtinguisher,7,2,success,0,1,7.269562,,,14.15401,3.904053,1,3.294502,2.429146,1.619051,,0.306343,0
2026-09-10_10-11-22,P04,Scaling,Micro,SideOfBody,Micro - Side Of Body,1,4,1:Micro Side[Micro-Side] > 2:Micro Near[Micro-Near] > 3:Macro Near[Macro-Near] > 4:Macro Side[Macro-Side],4,4,Wrench,8,3,success,0,1,10.86304,,,5.489439,6.300049,0,0,3.433523,1.733722,,0.550709,0
2026-09-10_10-11-22,P04,Scaling,Micro,SideOfBody,Micro - Side Of Body,1,4,1:Micro Side[Micro-Side] > 2:Micro Near[Micro-Near] > 3:Macro Near[Macro-Near] > 4:Macro Side[Macro-Side],4,4,Tape,9,4,success,0,1,7.336609,,,9.231257,2.903931,3,2.635072,1.894226,1.242144,,0.270674,0
