session_timestamp,participant_id,task,technique,hand_location,condition_label,condition_index,condition_total,condition_order,condition_sequence_index,condition_sequence_total,tool_id,trial_index_global,trial_index_in_task,trial_result,timed_out,success,completion_time_s,translation_error_cm,rotation_error_deg,scaling_error_pct,time_to_first_within_tol_s,eligible_breaks,error_recovery_time_s,micro_axis_active_duration_s,micro_axis_integral,macro_path_length_m,phone_path_length_m,mode_switch_count
2026-09-18_10-09-13,P05,Placement,Macro,NearHead,Macro - Near Head,1,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,FireExtinguisher,1,2,success,0,1,16.79788,1.747954,,,10.20685,0,0,,,3.511975,2.38095,0
2026-09-18_10-09-13,P05,Placement,Macro,NearHead,Macro - Near Head,1,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Wrench,2,3,success,0,1,16.10275,1.464716,,,7.999542,0,0,,,3.52447,2.398489,0
2026-09-18_10-09-13,P05,Placement,Macro,NearHead,Macro - Near Head,1,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Tape,3,4,success,0,1,11.33423,0.678219,,,5.166229,2,1.468525,,,3.178509,2.169393,0
2026-09-18_10-09-13,P05,Rotation,Macro,NearHead,Macro - Near Head,1,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,FireExtinguisher,4,2,success,0,1,10.20096,,2.709016,,5.000153,0,0,,,1.878901,1.25207,0
2026-09-18_10-09-13,P05,Rotation,Macro,NearHead,Macro - Near Head,1,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Wrench,5,3,success,0,1,17.36517,,24.02648,,11.22998,1,5.865376,,,2.691099,1.875216,0
2026-09-18_10-09-13,P05,Rotation,Macro,NearHead,Macro - Near Head,1,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Tape,6,4,success,0,1,11.79877,,24.77941,,4.131653,1,6.633364,,,1.606458,1.116869,0
2026-09-18_10-09-13,P05,Scaling,Macro,NearHead,Macro - Near Head,1,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,FireExtinguisher,7,2,success,0,1,10.96057,,,4.465896,5.960938,1,2.099003,,,2.102837,1.368187,0
2026-09-18_10-09-13,P05,Scaling,Macro,NearHead,Macro - Near Head,1,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Wrench,8,3,success,0,1,24.93085,,,7.75432,17.83197,1,2.564823,,,4.259356,2.93063,0
2026-09-18_10-09-13,P05,Scaling,Macro,NearHead,Macro - Near Head,1,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Tape,9,4,success,0,1,11.95752,,,4.346496,8.258728,0,0,,,2.274369,1.559568,0
2026-09-18_10-09-13,P05,Placement,Micro,SideOfBody,Micro - Side Of Body,2,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,FireExtinguisher,10,2,success,0,1,59.40308,0.815523,,,39.2323,1,1.50333,21.14359,10.63281,,1.686423,8
2026-09-18_10-09-13,P05,Placement,Micro,SideOfBody,Micro - Side Of Body,2,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Wrench,11,3,success,0,1,31.10107,1.012378,,,20.31067,0,0,7.421715,4.329821,,0.81076,3
2026-09-18_10-09-13,P05,Placement,Micro,SideOfBody,Micro - Side Of Body,2,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Tape,12,4,success,0,1,49.70056,0.968332,,,31.56616,0,0,12.00138,7.44932,,1.278572,10
2026-09-18_10-09-13,P05,Rotation,Micro,SideOfBody,Micro - Side Of Body,2,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,FireExtinguisher,13,2,success,0,1,18.16565,,17.2934,,5.967407,1,2.000449,2.165391,0.961717,,0.455805,2
2026-09-18_10-09-13,P05,Rotation,Micro,SideOfBody,Micro - Side Of Body,2,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Wrench,14,3,success,0,1,49.70007,,10.6359,,37.70056,1,6.975756,18.40272,12.31529,,1.23684,5
2026-09-18_10-09-13,P05,Rotation,Micro,SideOfBody,Micro - Side Of Body,2,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Tape,15,4,success,0,1,18.79968,,6.670613,,2.733154,0,0,1.938668,0.794551,,0.698628,0
2026-09-18_10-09-13,P05,Scaling,Micro,SideOfBody,Micro - Side Of Body,2,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,FireExtinguisher,16,2,success,0,1,11.302,,,1.031202,8.733032,0,0,4.640559,3.297806,,0.403538,0
2026-09-18_10-09-13,P05,Scaling,Micro,SideOfBody,Micro - Side Of Body,2,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Wrench,17,3,success,0,1,10.43579,,,1.415551,7.300659,0,0,1.357537,0.856301,,0.769193,0
2026-09-18_10-09-13,P05,Scaling,Micro,SideOfBody,Micro - Side Of Body,2,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Tape,18,4,success,0,1,7.768677,,,8.97187,2.501343,2,3.303328,1.168257,0.697476,,0.288785,0
2026-09-18_10-09-13,P05,Placement,Macro,SideOfBody,Macro - Side Of Body,3,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,FireExtinguisher,19,2,success,0,1,104.3989,2.268569,,,88.83325,5,4.160978,,,27.77359,18.95146,0
2026-09-18_10-09-13,P05,Placement,Macro,SideOfBody,Macro - Side Of Body,3,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Wrench,20,3,success,0,1,75.26318,6.508989,,,65.86475,2,2.132907,,,18.9331,12.93584,0
2026-09-18_10-09-13,P05,Placement,Macro,SideOfBody,Macro - Side Of Body,3,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Tape,21,4,success,0,1,48.09961,8.557873,,,36.26563,3,3.044607,,,9.199802,6.288429,0
2026-09-18_10-09-13,P05,Rotation,Macro,SideOfBody,Macro - Side Of Body,3,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,FireExtinguisher,22,2,success,0,1,25.79907,,5.876632,,8.600098,0,0,,,5.232943,3.451154,0
2026-09-18_10-09-13,P05,Rotation,Macro,SideOfBody,Macro - Side Of Body,3,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Wrench,23,3,success,0,1,72.63354,,7.776631,,60.79785,0,0,,,16.52993,11.37699,0
2026-09-18_10-09-13,P05,Rotation,Macro,SideOfBody,Macro - Side Of Body,3,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Tape,24,4,success,0,1,37.23291,,31.2171,,,0,,,,6.980375,4.824605,0
2026-09-18_10-09-13,P05,Scaling,Macro,SideOfBody,Macro - Side Of Body,3,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,FireExtinguisher,25,2,success,0,1,9.133545,,,2.242672,7.57373,0,0,,,2.193626,1.392992,0
2026-09-18_10-09-13,P05,Scaling,Macro,SideOfBody,Macro - Side Of Body,3,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Wrench,26,3,success,0,1,14.20215,,,4.074609,11.19946,1,0.663799,,,4.918811,3.354944,0
2026-09-18_10-09-13,P05,Scaling,Macro,SideOfBody,Macro - Side Of Body,3,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Tape,27,4,success,0,1,14.1001,,,13.17281,,0,,,,4.473166,3.064973,0
2026-09-18_10-09-13,P05,Placement,Micro,NearHead,Micro - Near Head,4,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,FireExtinguisher,28,2,success,0,1,33.63574,0.70051,,,21.00073,0,0,11.35833,8.015286,,0.864844,4
2026-09-18_10-09-13,P05,Placement,Micro,NearHead,Micro - Near Head,4,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Wrench,29,3,success,0,1,25.33398,0.990232,,,14.03467,0,0,7.118258,4.272542,,0.767401,4
2026-09-18_10-09-13,P05,Placement,Micro,NearHead,Micro - Near Head,4,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Tape,30,4,success,0,1,30.23779,0.924877,,,18.20068,0,0,9.088593,6.363208,,1.056229,6
2026-09-18_10-09-13,P05,Rotation,Micro,NearHead,Micro - Near Head,4,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,FireExtinguisher,31,2,success,0,1,9.431152,,7.883073,,0.96875,1,0.967423,1.898184,1.215686,,0.377762,0
2026-09-18_10-09-13,P05,Rotation,Micro,NearHead,Micro - Near Head,4,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Wrench,32,3,success,0,1,32.10791,,22.44106,,27.39844,2,3.033803,11.94426,8.068998,,0.968289,0
2026-09-18_10-09-13,P05,Rotation,Micro,NearHead,Micro - Near Head,4,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Tape,33,4,success,0,1,7.467041,,7.1318,,2.132324,0,0,1.123856,0.475568,,0.464367,0
2026-09-18_10-09-13,P05,Scaling,Micro,NearHead,Micro - Near Head,4,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,FireExtinguisher,34,2,success,0,1,10.13306,,,1.62611,5.268066,0,0,2.480567,1.635649,,0.549161,0
2026-09-18_10-09-13,P05,Scaling,Micro,NearHead,Micro - Near Head,4,4,1:Macro Near[Macro-Near] > 2:Micro Side[Micro-Side] > 3:Macro Side[Macro-Side] > 4:Micro Near[Micro-Near],1,4,Wrench,35,3,success,0,1,11.73755,,,7.804537,3.704834,2,4.867895,2.208413,1.238834,,1.128498,0
